ID,StName,WaterBody,District,pH,DO (mg/L),BOD (mg/L),Conductivity (mS/cm),COD (mg/L),Nitrate,Total Phosphate (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Turbidity (NTU),Chloride (mg/L),Fluoride (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L)
4661,Peddakanjarla Tank,Lake/Tank,Sangareddy,6.71,6.9,2.8,369,40,13,NA,1.8,21,3.6,49,0.19,229,160,7
4666,Ismailkhanpet Tank,Lake/Tank,Sangareddy,7.22,7.1,3,729,24,22,NA,2,22,3.3,102,0.48,452,316,8
4670,"Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",Lake/Tank,Rangareddy,7.1,0.3,10,1406,131,6.88,1.26,31,540,18,214,1.04,872,NA,14
4675,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Lake/Tank,Hyderabad,7.29,2.8,4,736,44,4.52,1.94,17,210,7,86,0.88,456,NA,11
4680,Laknavaram lake,Lake/Tank,Mulugu,7.14,6.2,1.6,125,8,0.84,0.25,1.8,21,3,6,0.41,78,NA,10
4681,Pakala lake Narsampet,Lake/Tank,Warangal Rural,7.53,6,1,162,12,1.6,0.2,1.8,39,6,22,0.43,102,NA,10
4682,Bandham Cheruvu,Lake/Tank,Warangal,7.49,0.3,10,935,137,6.2,1.23,14,220,10,122,0.97,580,NA,18
4688,"Narinja River, Kothur - B (V), Zaheerabad",Lake/Tank,Sangareddy,6.88,6.5,2.2,545,25,13,NA,3.6,43,3.3,68,0.42,338,237,9
1391,Hussain sagar Lake,Lake/Tank,Hyderabad,6.59,1,6,1149,66,4.2,3.6,120,540,12,226,1.16,710,NA,22
3071,Langarhouse lake ,Lake/Tank,Hyderabad,6.93,1.8,4,995,52,3.8,2.8,21,430,11.8,166,1.02,616,NA,18
2341,Miralam tank ,Lake/Tank,Hyderabad,6.97,0.3,4,1297,58,2.86,3.2,27,430,9.2,188,0.99,810,NA,12
3073,"Hasmathpet lake, Hasmathpet ",Lake/Tank,Medchal Malkajgiri,7.34,0.3,6,1190,68,5.2,4.6,63,430,15,126,1.16,722,NA,21
3072,Safilguda lake ,Lake/Tank,Medchal Malkajgiri,7.83,0.3,8,1144,76,3.2,2.9,11,540,8.8,190,1.18,708,NA,16
3075,Rangadhamuni cheruvu,Lake/Tank,Medchal Malkajgiri,7.05,3.3,2,311,22,2.8,2.6,27,350,8,52,0.72,192,NA,10
3076,"Amber cheruvu, Kukatpally ",Lake/Tank,Medchal Malkajgiri,7.52,0.9,5.8,832,72,2.9,2.6,9,430,9.2,92,1.16,516,NA,13
3077,"Kapra cheruvu, Kapra ",Lake/Tank,Medchal Malkajgiri,7.75,0.9,5.9,823,88,3.2,4.6,21,350,6,82,0.93,510,NA,10
2357,Durgam cheruvu ,Lake/Tank,RR-shamshabad,6.86,3.8,2.4,791,38,3.6,4,17,280,12,112,0.83,480,NA,12
2344,Nalla cheruvu ,Lake/Tank,Medchal Malkajgiri,7.17,2,4,1403,58,3.6,3.6,27,920,18,212,1.18,860,NA,22
2359,Pedda Cheruvu (Peerjadhi guda),Lake/Tank,Medchal Malkajgiri,7.23,0.3,8,1339,86,3.8,3.2,21,540,9.8,182,1.1,830,NA,16
2342,Noor Md. Kunta ,Lake/Tank,RR-shamshabad,6.95,0.3,8,1630,83,5.96,3.74,34,540,12,208,1.14,1028,NA,10
3070,"Fox sagar, Jeedimetla ",Lake/Tank,Medchal Malkajgiri,7.1,2,4,1031,56,2.2,3.6,14,430,11.6,108,1.06,632,NA,21
3074,Banjara Lake,Lake/Tank,Hyderabad,6.71,3.2,2.8,513,32,2.74,1.16,4,280,6.8,76,0.86,320,NA,10
3086,Saki Tank,Lake/Tank,Sangareddy,7.81,6.3,3,826,35,25,NA,6,41,4.1,131,0.37,512,358,7
4667,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Lake/Tank,Hyderabad,7.63,0.3,6,1498,58,8,1.62,17,280,16,230,1.16,928,NA,18
4669,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Lake/Tank,Rangareddy,6.87,0.3,6,717,72,5.8,2.44,14,220,8,112,0.82,444,,12
4671,"Medi Kunta, Guttala begumpet (V)",Lake/Tank,Rangareddy,6.96,3,2.9,624,38,1.96,2.06,2,240,7.3,82,0.82,386,,10
4672,"Medi Kunta (Wipro Lake), Nanakramguda",Lake/Tank,Rangareddy,6.85,2.8,3,729,42,3.2,2.8,11,350,5.6,96,0.87,452,NA,10
4673,Medikunta lake (BK Enclave),Lake/Tank,Rangareddy,7.05,2,4,750,48,3.2,3.3,39,430,10,112,0.99,456,,17
4674,"Meedi Kunta, Hafeezpet (V), Serlingampally",Lake/Tank,Rangareddy,7.1,5.2,3.2,534,36,2.8,2.6,12,350,6.2,78,0.93,326,NA,10
4676,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Lake/Tank,Medchal Malkajgiri,8.19,2.3,3.2,1018,64,6.2,2.13,26,430,18,144,0.97,634,,22
4677,"Lingam Cheruvu, Suraram (V), Quthubullapur",Lake/Tank,Medchal Malkajgiri,6.98,0.3,6.2,914,73,8.6,2.38,17,350,10,116,1.06,560,NA,14
4678,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Lake/Tank,Rangareddy,6.95,0.3,10,1137,114,9,1.92,11,430,24,180,0.44,728,NA,19
4679,HUDA Park Lake,Lake/Tank,Rangareddy,6.89,2.4,5.2,1621,43,5.12,2.98,38,540,17,230,1.06,1022,NA,16
4683,"Pedda cheruvu, Madikonda",Lake/Tank,Warangal,7.71,2,5,618,69,3.8,0.73,11,70,9,69,0.65,390,NA,10
4684,Campus Lake Icrisat,Lake/Tank,Sangareddy,6.72,5.9,3.9,527,24,20,NA,6,79,3.9,83,0.4,327,229,7
4685,Surisigal Lake Icrisat,Lake/Tank,Sangareddy,6.96,5.8,3.4,982,26,32,NA,7.8,120,3.2,126,0.45,609,426,8
4686,Icrisat Lake,Lake/Tank,Sangareddy,6.74,5.7,3.2,905,40,31,NA,7.4,110,3.4,107,0.32,561,393,8
4687,Red Lake Icrisat,Lake/Tank,Sangareddy,6.65,6.1,3.8,859,44,35,NA,8.3,130,4.3,126,0.65,533,373,9
4689,"Sunnam Kunta, Jubille hills",Lake/Tank,Hyderabad,6.96,1.2,1,546,8,7,2.44,12,240,15,82,1.08,338,NA,10
4690,"Banjara Kunta (Singadi Kunta), Shaikpet",Lake/Tank,Hyderabad,8.42,0.3,6,945,56,5.08,1.74,24,280,6,130,0.96,596,NA,10
4691,"Nagole Cheruvu, Uppal Malkajigiri District.",Lake/Tank,RR-shamshabad,7.06,0.3,7,1342,86,6.2,3.62,20,430,10,204,0.56,846,NA,13
4692,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",Lake/Tank,Medchal Malkajgiri,6.86,0.3,8,885,66,3.6,2.46,24,280,22,132,0.65,558,NA,12
4693,"Patel Cheruvu, Madeenaguda, Miyapur",Lake/Tank,Medchal Malkajgiri,7.06,0.3,8,752,84,3.8,2.82,24,170,18,116,0.98,466,,22
4694,"Mullakatwa Cheruvu, Hi Tech City, Madhapur, ",Lake/Tank,Medchal Malkajgiri,6.54,0.3,4,316,44,2.4,1.86,24,350,13,54,0.38,196,,16
4696,"Parki Cheruvu, Kukatpally (V), Balanagar",Lake/Tank,Medchal Malkajgiri,6.96,0.9,6,949,69,3.8,2.65,24,430,12,98,0.99,598,NA,18
4699,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",Lake/Tank,RR-shamshabad,6.92,4.3,2,578,28,4.2,1.32,13,240,9,76,0.62,358,NA,11
4701,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Lake/Tank,Rangareddy,8.75,1.4,4,768,44,8,2.36,25,240,17,94,0.42,460,NA,15
4702,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Lake/Tank,Rangareddy,7.32,3.8,14,891,65,23.79,,,,46.4,112,0.85,563,458,14
4704,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Lake/Tank,Rangareddy,6.86,0.3,14,597,168,3.2,2.92,17,280,6,76,0.38,370,NA,12
4705,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Lake/Tank,Medchal Malkajgiri,7.09,0.3,3.8,1299,52,4.4,2.36,21,350,15,190,0.89,818,NA,20
5029,"Mohini Cheruvu, Amberpet, Hyderabad",Lake/Tank,Hyderabad,6.79,3.3,2,633,24,4,1.26,11,210,10,92,1.02,398,NA,16
5030,"Naya Quila Talab, Golconda, Hyderabad",Lake/Tank,Hyderabad,7.83,0.3,6,1220,42,5,2.2,12,430,1.8,176,1.18,768,NA,14
5032,"Kotha Cheruvu, Shaikpet, Hyderabad",Lake/Tank,Hyderabad,6.8,0.3,8,916,84,4.86,2.18,4,220,14,105,1.18,576,NA,16
5034,"Shikari Kunta, Shaikpet, Hyderabad",Lake/Tank,Hyderabad,7.85,1.2,2,1076,20,6,1.82,17,210,14,154,1.19,668,NA,20
5035,"Bathur Kunta, Shaikpet, Hyderabad",Lake/Tank,Hyderabad,7.74,1.2,2,1096,16,9,2.92,15,350,13,158,1.46,680,NA,11
5037,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,7.12,0.3,6,1209,68,3.6,4.2,33,540,21,182,1.08,726,NA,33
5039,"DMRL,  Lake, Kanchanbagh, Hyderabad",Lake/Tank,Hyderabad,6.91,4.2,2,1170,24,6,2.82,21,350,14,182,1.22,748,NA,22
5040,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Lake/Tank,Medchal Malkajgiri,6.96,0.3,12,1338,124,10,8.64,14,350,8,196,0.32,856,NA,24
5041,"Pathulguda, Uppal, Medchal Dist.",Lake/Tank,Medchal Malkajgiri,7.22,0.3,5,1146,62,6.6,3.18,17,240,23,172,0.62,722,NA,20
5042,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,6.92,0.3,6,1045,56,6.6,2.46,21,540,15,97,1.12,658,NA,20
5043,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,6.22,0.3,6,988,50,5.6,2.14,23,35,8,140,1.02,612,NA,12
5044,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Lake/Tank,Medchal Malkajgiri,6.77,0.3,6,702,66,4.6,4.2,49,430,12,88,1.12,430,NA,18
5045,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,7.04,0.3,6,1004,56,3.2,4.4,39,430,15,126,0.99,602,NA,28
5046,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,6.94,5.4,1.8,482,20,2.6,1.12,12,40,6,54,0.89,300,NA,10
5047,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,6.49,4.6,1.8,368,24,3.4,0.97,1.8,210,6,44,0.85,234,NA,10
5050,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,8.06,1.2,3,886,36,5.2,2.48,17,350,9,102,0.92,558,NA,18
5051,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Lake/Tank,Medchal Malkajgiri,7.15,0.3,6,716,52,3,3.22,33,430,13,102,0.98,442,NA,21
5052,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,7.12,4.4,1.2,399,18,3.6,2.1,31,280,28,58,0.28,238,,20
5053,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Lake/Tank,Medchal Malkajgiri,7.16,2.3,4,583,44,3.3,2.81,20,540,26,69,0.48,362,NA,26
5054,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.78,3.4,3,737,33,5.2,1.88,17,220,16,86,0.52,472,NA,18
5055,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.66,2.2,2,329,28,3.2,2.16,20,350,22,44,0.38,204,NA,21
5056,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,7.06,2.6,2.2,553,34,2.7,3.2,33,430,11,78,1.12,342,NA,18
5057,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.9,0.3,8,829,92,10,2.84,13,350,28,114,0.2,514,NA,21
5058,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.9,1.2,2,718,26,4.8,2.1,17,280,13,104,0.37,452,NA,18
5059,"Gopi Cheruvu,  Lingampally, Serilingampally, Rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.75,0.8,6,940,68,13,2.1,11,220,24,126,0.22,582,NA,14
5060,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.9,1.5,4,746,42,5.6,2.06,14,170,20,106,0.26,462,NA,18
5061,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,6.79,0.3,6,654,52,8,2.14,21,210,12,102,0.46,376,NA,16
5062,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",Lake/Tank,Medchal Malkajgiri,7.12,0.3,6,822,66,3.8,4.6,17,350,13,84,1.08,486,NA,20
5063,"Nanakram Kunta, Nanakraamguda, ",Lake/Tank,Medchal Malkajgiri,6.76,2.2,3,467,28,2.2,2.2,11,170,11,72,0.82,290,,22
5111,"Nagireddy Kunta (Yapral Cheruvu), Yapral",Lake/Tank,Medchal Malkajgiri,7.09,0.3,6,1231,56,3.4,3.4,25,430,12,165,1.2,738,NA,26
5112,"Kamuni Cheruvu, Kukatpally",Lake/Tank,Medchal Malkajgiri,7.21,0.3,6,1088,62,3.2,3.8,27,430,17,152,1.16,652,NA,21
5113,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",Lake/Tank,Medchal Malkajgiri,7.31,2,3,1030,32,5.8,2.2,21,920,17,158,0.31,638,NA,16
5114,"Shanthisarovor Pond, Gachibowli, Serilingmapally",Lake/Tank,Rangareddy ,6.63,4.7,2,550,27,8,2.14,17,240,10,88,0.56,340,NA,20
5115,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",Lake/Tank,Rangareddy ,6.89,0.3,8,721,82,3.6,1.92,26,240,26,106,0.56,438,,20
5116,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",Lake/Tank,Rangareddy ,6.79,5.9,2.9,176,38,2.6,1.68,26,350,16,26,0.62,104,NA,12
5118,"Kotha Kunta, Haffezpet, Serilingampally (M)",Lake/Tank,Rangareddy ,6.77,1.1,4,674,58,3.2,1.68,20,210,17,84,0.7,418,NA,26
5119,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",Lake/Tank,Rangareddy ,6.85,0.3,6,722,68,3.6,2.18,25,350,22,102,0.62,454,NA,24
5120,"Thammidi Kunta, Khanamet, Serilingampally",Lake/Tank,Rangareddy ,6.94,0.3,6,1021,78,4.6,3.54,14,220,18,132,0.62,644,NA,14
5121,"Pale Cheruvu, Kattedan",Lake/Tank,Rangareddy,6.89,2.2,5,1100,51,3.96,3.01,21,540,20,160,1.04,672,NA,14
5124,"TCS Energy Park Lake,Gachibowli(V), Serilingampally (M), Rangareddy (D)",Lake/Tank,Rangareddy,6.71,5,3,589,36,3.4,1.42,20,280,14,84,0.32,366,NA,10
5126,"Bathula Cheruvu, Amangal, Hayathnagar",Lake/Tank,Rangareddy,7.16,2.6,4,1850,52,6.6,1.88,20,220,10,226,0.42,1148,NA,17
5127,"Kummari Kunta, Amangal, Hayathnagar",Lake/Tank,Rangareddy,7.06,2.1,4,1404,64,6.4,1.74,21,170,13,168,0.49,884,NA,14
5128,"Palle Cheruvu, Mylardevpalli, Rajendranagar",Lake/Tank,Rangareddy,7.13,0.3,8,1161,71,4.28,2.12,31,540,14,147,0.92,720,NA,19
5129,"Erra Kunta, Laxmiguda, Rajenderanagar",Lake/Tank,Rangareddy,7.18,2.8,2.2,1313,36,3.58,2.06,34,430,13,167,1.02,814,NA,15
5130,"Pathikunta, Budwel, Rajendranagar",Lake/Tank,Rangareddy,7.08,5.9,1,538,8,2.16,2.08,11,280,10,52,0.84,322,NA,10
5131,"Yellamma Cheruvu, Manikonda, Rajenderanagar",Lake/Tank,Rangareddy ,7.06,2.2,4,1192,40,5.2,1.98,24,220,15,188,0.44,728,NA,17
5132,"Malkam Cheruvu, Raidurgam, Serilingampally",Lake/Tank,Rangareddy ,7.07,3.6,19,1510,89,10.98,,,,38.7,108,1.25,896,687,18
5133,"Chandana Cheruvu, Jillelguda, ",Lake/Tank,Rangareddy,7.04,2,4,1346,47,3.88,1.88,24,430,10,172,1.09,834,NA,14
5134,"Manthrala Cheruvu, Meerpet",Lake/Tank,Rangareddy,7.04,3,2,1190,31,3.94,1.8,31,430,18,160,1.18,750,NA,15
